"id","qid1","qid2","question1","question2","is_duplicate"
"0","1","2","What is the step by step guide to invest in share market in india?","What is the step by step guide to invest in share market?","0"
"1","3","4","What is the story of Kohinoor (Koh-i-Noor) Diamond?","What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?","0"
"2","5","6","How can I increase the speed of my internet connection while using a VPN?","How can Internet speed be increased by hacking through DNS?","0"
"3","7","8","Why am I mentally very lonely? How can I solve it?","Find the remainder when [math]23^{24}[/math] is divided by 24,23?","0"
"4","9","10","Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?","Which fish would survive in salt water?","0"
"5","11","12","Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?","I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?","1"
"6","13","14","Should I buy tiago?","What keeps childern active and far from phone and video games?","0"
"7","15","16","How can I be a good geologist?","What should I do to be a great geologist?","1"
"10","21","22","Method to find separation of slits using fresnel biprism?","What are some of the things technicians can tell about the durability and reliability of Laptops and its components?","0"
"11","23","24","How do I read and find my YouTube comments?","How can I see all my Youtube comments?","1"
"12","25","26","What can make Physics easy to learn?","How can you make physics easy to learn?","1"
"13","27","28","What was your first sexual experience like?","What was your first sexual experience?","1"
"14","29","30","What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?","What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?","0"
"15","31","32","What would a Trump presidency mean for current international master’s students on an F1 visa?","How will a Trump presidency affect the students presently in US or planning to study in US?","1"
"16","33","34","What does manipulation mean?","What does manipulation means?","1"
"17","35","36","Why do girls want to be friends with the guy they reject?","How do guys feel after rejecting a girl?","0"
"18","37","38","Why are so many Quora users posting questions that are readily answered on Google?","Why do people ask Quora questions which can be answered easily by Google?","1"
"19","39","40","Which is the best digital marketing institution in banglore?","Which is the best digital marketing institute in Pune?","0"
"20","41","42","Why do rockets look white?","Why are rockets and boosters painted white?","1"
"29","59","60","How should I prepare for CA final law?","How one should know that he/she completely prepare for CA final exam?","1"
"30","61","62","What's one thing you would like to do better?","What's one thing you do despite knowing better?","0"
"31","63","64","What are some special cares for someone with a nose that gets stuffy during the night?","How can I keep my nose from getting stuffy at night?","1"
"32","65","66","What Game of Thrones villain would be the most likely to give you mercy?","What Game of Thrones villain would you most like to be at the mercy of?","1"
"37","75","76","When a girlfriend asks her boyfriend ""Why did you choose me? What makes you want to be with me?"", what should one reply to her?","My girlfriend said that we should end this because she is confused about her feelings for me. I wished her well and disconnected. Should I call her and ask her if she wants to get back together?","0"
"38","77","78","How do we prepare for UPSC?","How do I prepare for civil service?","1"
"44","89","90","What universities does Rexnord recruit new grads from? What majors are they looking for?","What universities does B&G Foods recruit new grads from? What majors are they looking for?","0"
"45","91","92","What is the quickest way to increase Instagram followers?","How can we increase our number of Instagram followers?","0"
"47","95","96","What are the stages of breaking up between couple? I mean, what happens after the breaking up emotionally whether its a male or female?","Who is affected more by a breakup, the boy or the girl?","0"
"48","97","98","What are some examples of products that can be make from crude oil?","What are some of the products made from crude oil?","1"
"49","99","100","How do I make friends.","How to make friends ?","1"
